Designator,Mid X,Mid Y,Rotation,Layer
BRD1,207.25,-77.052,0.0,top
C1,103.539,-107.089,0.0,bottom
C10,274.989,-107.089,0.0,bottom
C100,274.989,-278.539,0.0,bottom
C11,103.539,-126.139,0.0,bottom
C12,122.589,-126.139,0.0,bottom
C13,141.639,-126.139,0.0,bottom
C14,160.689,-126.139,0.0,bottom
C15,179.739,-126.139,0.0,bottom
C16,198.789,-126.139,0.0,bottom
C17,217.839,-126.139,0.0,bottom
C18,236.889,-126.139,0.0,bottom
C19,255.939,-126.139,0.0,bottom
C2,122.589,-107.089,0.0,bottom
C20,274.989,-126.139,0.0,bottom
C21,103.539,-145.189,0.0,bottom
C22,122.589,-145.189,0.0,bottom
C23,141.639,-145.189,0.0,bottom
C24,160.689,-145.189,0.0,bottom
C25,179.739,-145.189,0.0,bottom
C26,198.789,-145.189,0.0,bottom
C27,217.839,-145.189,0.0,bottom
C28,236.889,-145.189,0.0,bottom
C29,255.939,-145.189,0.0,bottom
C3,141.639,-107.089,0.0,bottom
C30,274.989,-145.189,0.0,bottom
C31,103.539,-164.239,0.0,bottom
C32,122.589,-164.239,0.0,bottom
C33,141.639,-164.239,0.0,bottom
C34,160.689,-164.239,0.0,bottom
C35,179.739,-164.239,0.0,bottom
C36,198.789,-164.239,0.0,bottom
C37,217.839,-164.239,0.0,bottom
C38,236.889,-164.239,0.0,bottom
C39,255.939,-164.239,0.0,bottom
C4,160.689,-107.089,0.0,bottom
C40,274.989,-164.239,0.0,bottom
C41,103.539,-183.289,0.0,bottom
C42,122.589,-183.289,0.0,bottom
C43,141.639,-183.289,0.0,bottom
C44,160.689,-183.289,0.0,bottom
C45,179.739,-183.289,0.0,bottom
C46,198.789,-183.289,0.0,bottom
C47,217.839,-183.289,0.0,bottom
C48,236.889,-183.289,0.0,bottom
C49,255.939,-183.289,0.0,bottom
C5,179.739,-107.089,0.0,bottom
C50,274.989,-183.289,0.0,bottom
C51,103.539,-202.339,0.0,bottom
C52,122.589,-202.339,0.0,bottom
C53,141.639,-202.339,0.0,bottom
C54,160.689,-202.339,0.0,bottom
C55,179.739,-202.339,0.0,bottom
C56,198.789,-202.339,0.0,bottom
C57,217.839,-202.339,0.0,bottom
C58,236.889,-202.339,0.0,bottom
C59,255.939,-202.339,0.0,bottom
C6,198.789,-107.089,0.0,bottom
C60,274.989,-202.339,0.0,bottom
C61,103.539,-221.389,0.0,bottom
C62,122.589,-221.389,0.0,bottom
C63,141.639,-221.389,0.0,bottom
C64,160.689,-221.389,0.0,bottom
C65,179.739,-221.389,0.0,bottom
C66,198.789,-221.389,0.0,bottom
C67,217.839,-221.389,0.0,bottom
C68,236.889,-221.389,0.0,bottom
C69,255.939,-221.389,0.0,bottom
C7,217.839,-107.089,0.0,bottom
C70,274.989,-221.389,0.0,bottom
C71,103.539,-240.439,0.0,bottom
C72,122.589,-240.439,0.0,bottom
C73,141.639,-240.439,0.0,bottom
C74,160.689,-240.439,0.0,bottom
C75,179.739,-240.439,0.0,bottom
C76,198.789,-240.439,0.0,bottom
C77,217.839,-240.439,0.0,bottom
C78,236.889,-240.439,0.0,bottom
C79,255.939,-240.439,0.0,bottom
C8,236.889,-107.089,0.0,bottom
C80,274.989,-240.439,0.0,bottom
C81,103.539,-259.489,0.0,bottom
C82,122.589,-259.489,0.0,bottom
C83,141.639,-259.489,0.0,bottom
C84,160.689,-259.489,0.0,bottom
C85,179.739,-259.489,0.0,bottom
C86,198.789,-259.489,0.0,bottom
C87,217.839,-259.489,0.0,bottom
C88,236.889,-259.489,0.0,bottom
